target_class,threshold,primary_n,uncertain_n,primary_precision,uncertain_negative_precision,uncertain_positive_precision,primary_recall,uncertain_negative_recall,uncertain_positive_recall,primary_f1,uncertain_negative_f1,uncertain_positive_f1,precision_delta_uncertain_negative,precision_delta_uncertain_positive,recall_delta_uncertain_negative,recall_delta_uncertain_positive,f1_delta_uncertain_negative,f1_delta_uncertain_positive,precision_extreme_range,recall_extreme_range,f1_extreme_range
human,0.1,809,10,0.610738255033557,0.5947712418300654,0.6209150326797386,0.8425925925925926,0.8425925925925926,0.8050847457627118,0.7081712062256811,0.6973180076628351,0.7011070110701106,-0.015967013203491698,0.010176777646181523,0.0,-0.03750784682988073,-0.010853198562845945,-0.007064195155570441,0.02614379084967322,0.03750784682988073,0.003789003407275504
human,0.3,809,10,0.7521367521367521,0.7333333333333333,0.7583333333333333,0.8148148148148148,0.8148148148148148,0.7711864406779662,0.7822222222222222,0.7719298245614035,0.7647058823529411,-0.018803418803418848,0.006196581196581175,0.0,-0.04362837413684861,-0.010292397660818686,-0.017516339869281028,0.025000000000000022,0.04362837413684861,0.007223942208462342
human,0.5,809,10,0.8526315789473684,0.826530612244898,0.8571428571428571,0.75,0.75,0.711864406779661,0.7980295566502463,0.7864077669902914,0.7777777777777777,-0.02610096670247042,0.004511278195488688,0.0,-0.03813559322033899,-0.011621789659954973,-0.02025177887246865,0.030612244897959107,0.03813559322033899,0.008629989212513678
animal,0.1,760,59,0.6580882352941176,0.5927152317880795,0.6920529801324503,0.9040404040404041,0.9040404040404041,0.8132295719844358,0.7617021276595746,0.7160000000000001,0.7477638640429338,-0.06537300350603814,0.03396474483833267,0.0,-0.0908108320559683,-0.04570212765957449,-0.013938263616640745,0.09933774834437081,0.0908108320559683,0.03176386404293374
animal,0.3,760,59,0.7924528301886793,0.711864406779661,0.8135593220338984,0.8484848484848485,0.8484848484848485,0.7470817120622568,0.8195121951219513,0.7741935483870968,0.7789046653144017,-0.08058842340901828,0.021106491845219066,0.0,-0.10140313642259169,-0.04531864673485453,-0.04060752980754956,0.10169491525423735,0.10140313642259169,0.00471111692730497
animal,0.5,760,59,0.8944444444444445,0.817258883248731,0.9035532994923858,0.8131313131313131,0.8131313131313131,0.6926070038910506,0.851851851851852,0.8151898734177216,0.7841409691629956,-0.07718556119571351,0.009108855047941344,0.0,-0.12052430924026258,-0.03666197843413033,-0.06771088268885639,0.08629441624365486,0.12052430924026258,0.031048904254726062
vehicle,0.1,807,12,0.5605095541401274,0.5333333333333333,0.5818181818181818,0.88,0.88,0.8571428571428571,0.6848249027237354,0.6641509433962264,0.6931407942238267,-0.02717622080679405,0.021308627678054415,0.0,-0.02285714285714291,-0.02067395932750904,0.008315891500091266,0.048484848484848464,0.02285714285714291,0.028989850827600305
vehicle,0.3,807,12,0.7297297297297297,0.6923076923076923,0.7435897435897436,0.81,0.81,0.7767857142857143,0.7677725118483413,0.7465437788018433,0.759825327510917,-0.037422037422037424,0.013860013860013898,0.0,-0.03321428571428575,-0.021228733046497972,-0.007947184337424251,0.05128205128205132,0.03321428571428575,0.01328154870907372
vehicle,0.5,807,12,0.8295454545454546,0.7934782608695652,0.8369565217391305,0.73,0.73,0.6875,0.7765957446808511,0.7604166666666666,0.7549019607843138,-0.0360671936758894,0.007411067193675902,0.0,-0.04249999999999998,-0.0161790780141845,-0.02169378389653731,0.0434782608695653,0.04249999999999998,0.0055147058823528106
