target_class,threshold,sampling_time_window,evaluable_n,manual_positive_n,manual_negative_n,predicted_positive_n,predicted_negative_n,tp,fp,fn,tn,precision,precision_ci_low,precision_ci_high,recall,recall_ci_low,recall_ci_high,specificity,fpr,fnr,f1,predicted_positive_rate,precision_sparse,recall_sparse
animal,0.5,daytime_core,203,49,154,45,158,40,5,9,149,0.8888888888888888,0.7650090300423142,0.9515952820543281,0.8163265306122449,0.6864239739710014,0.900236589379297,0.9675324675324676,0.032467532467532464,0.1836734693877551,0.851063829787234,0.22167487684729065,False,False
animal,0.5,evening_transition,186,52,134,49,137,42,7,10,127,0.8571428571428571,0.733322937760856,0.9290357627959324,0.8076923076923077,0.6810113918634199,0.8920395397526649,0.9477611940298507,0.05223880597014925,0.19230769230769232,0.8316831683168318,0.26344086021505375,False,False
vehicle,0.1,overnight,191,24,167,36,155,22,14,2,153,0.6111111111111112,0.44864459096605147,0.75215126934629,0.9166666666666666,0.7415119780678932,0.9768411847029566,0.9161676646706587,0.08383233532934131,0.08333333333333333,0.7333333333333334,0.18848167539267016,False,False
vehicle,0.1,morning_transition,201,24,177,41,160,20,21,4,156,0.4878048780487805,0.34254429554432664,0.6351549134845619,0.8333333333333334,0.6414692935030095,0.9332132367136705,0.8813559322033898,0.11864406779661017,0.16666666666666666,0.6153846153846153,0.20398009950248755,False,False
vehicle,0.1,daytime_core,210,25,185,40,170,21,19,4,166,0.525,0.3749736210669248,0.670645298873211,0.84,0.6534637839282115,0.9359654854332357,0.8972972972972973,0.10270270270270271,0.16,0.6461538461538462,0.19047619047619047,False,False
vehicle,0.1,evening_transition,205,27,178,40,165,25,15,2,163,0.625,0.4703243913730111,0.7577702083276672,0.9259259259259259,0.7663040731697686,0.9794453459390113,0.9157303370786517,0.08426966292134831,0.07407407407407407,0.7462686567164178,0.1951219512195122,False,False
vehicle,0.3,overnight,191,24,167,24,167,20,4,4,163,0.8333333333333334,0.6414692935030095,0.9332132367136705,0.8333333333333334,0.6414692935030095,0.9332132367136705,0.9760479041916168,0.023952095808383235,0.16666666666666666,0.8333333333333334,0.1256544502617801,False,False
vehicle,0.3,morning_transition,201,24,177,30,171,18,12,6,165,0.6,0.42320360253322487,0.7540937188319814,0.75,0.55100555994846,0.8800063377140499,0.9322033898305084,0.06779661016949153,0.25,0.6666666666666665,0.14925373134328357,False,False
vehicle,0.3,daytime_core,210,25,185,28,182,20,8,5,177,0.7142857142857143,0.5294071156670429,0.847460039433309,0.8,0.6086904963045967,0.9113941531319742,0.9567567567567568,0.043243243243243246,0.2,0.7547169811320756,0.13333333333333333,False,False
vehicle,0.3,evening_transition,205,27,178,29,176,23,6,4,172,0.7931034482758621,0.6160990959613211,0.9015392980215897,0.8518518518518519,0.6752131457218702,0.9408407222375568,0.9662921348314607,0.033707865168539325,0.14814814814814814,0.8214285714285715,0.14146341463414633,False,False
vehicle,0.5,overnight,191,24,167,21,170,18,3,6,164,0.8571428571428571,0.6536393971937906,0.9501898750027473,0.75,0.55100555994846,0.8800063377140499,0.9820359281437125,0.017964071856287425,0.25,0.7999999999999999,0.1099476439790576,False,False
vehicle,0.5,morning_transition,201,24,177,19,182,14,5,10,172,0.7368421052631579,0.5120844910218489,0.8819358765321748,0.5833333333333334,0.3883466586522877,0.7553239739018824,0.9717514124293786,0.02824858757062147,0.4166666666666667,0.6511627906976745,0.0945273631840796,False,False
vehicle,0.5,daytime_core,210,25,185,21,189,18,3,7,182,0.8571428571428571,0.6536393971937906,0.9501898750027473,0.72,0.5242339480963842,0.8571614614904344,0.9837837837837838,0.016216216216216217,0.28,0.782608695652174,0.1,False,False
vehicle,0.5,evening_transition,205,27,178,27,178,23,4,4,174,0.8518518518518519,0.6752131457218702,0.9408407222375568,0.8518518518518519,0.6752131457218702,0.9408407222375568,0.9775280898876404,0.02247191011235955,0.14814814814814814,0.8518518518518519,0.13170731707317074,False,False
