metric_scope,target_class,threshold,N,TP,FP,TN,FN,precision,recall,specificity,NPV,accuracy,F1,balanced_accuracy,MCC,false_positive_rate,false_negative_rate,predicted_positive_n,predicted_negative_n,predicted_positive_rate,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,NPV_ci_low,NPV_ci_high,accuracy_ci_low,accuracy_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high,predicted_positive_rate_ci_low,predicted_positive_rate_ci_high
validation_sample,animal,0.01,760,189,233,329,9,0.44786729857819907,0.9545454545454546,0.5854092526690391,0.9733727810650887,0.6815789473684211,0.6096774193548388,0.7699773536072468,0.47691777474822794,0.41459074733096085,0.045454545454545456,422,338,0.5552631578947368,0.4011049581124442,0.4955702032918692,0.9158843545040228,0.9759046815626607,0.5442332877416118,0.6254255424898802,0.9501771415828236,0.9859293245665891,0.6476157762536592,0.7137157498278399,0.37457445751011964,0.45576671225838816,0.02409531843733931,0.08411564549597722,0.5197431981972218,0.5902272662623649
validation_sample,animal,0.05,760,186,131,431,12,0.5867507886435331,0.9393939393939394,0.7669039145907474,0.9729119638826185,0.8118421052631579,0.7223300970873787,0.8531489269923433,0.6287198112548894,0.23309608540925267,0.06060606060606061,317,443,0.41710526315789476,0.5318210970673841,0.6396031328378208,0.8970683838507462,0.9649943510137146,0.7302079961091328,0.7999758483642803,0.9532548915922298,0.9844378666084673,0.7825126512568256,0.8380349696222708,0.20002415163571974,0.2697920038908673,0.03500564898628546,0.10293161614925384,0.382552183057726,0.45249212025289387
validation_sample,animal,0.1,760,179,93,469,19,0.6580882352941176,0.9040404040404041,0.8345195729537367,0.9610655737704918,0.8526315789473684,0.7617021276595746,0.8692799884970703,0.6762264583544425,0.16548042704626334,0.09595959595959595,272,488,0.35789473684210527,0.5998653658989186,0.7119079272372042,0.854996253946972,0.9377051114456356,0.8015453457624144,0.8629517393109298,0.9399939369046018,0.9749350344736574,0.8256577466999735,0.8760585503278653,0.1370482606890702,0.19845465423758554,0.06229488855436441,0.14500374605302804,0.32460593657175707,0.3926128691035913
validation_sample,animal,0.2,760,174,59,503,24,0.7467811158798283,0.8787878787878788,0.895017793594306,0.9544592030360531,0.8907894736842106,0.8074245939675173,0.8869028361910924,0.7366299861397182,0.10498220640569395,0.12121212121212122,233,527,0.30657894736842106,0.6872525819227234,0.7983042989233079,0.8259798451530607,0.9171776849025088,0.86693749837379,0.9177345914468612,0.9331326001313279,0.9692083757678341,0.8666179619732833,0.9110303224195083,0.0822654085531388,0.13306250162621003,0.08282231509749122,0.17402015484693928,0.2748396002641221,0.3402637741273244
validation_sample,animal,0.25,760,170,52,510,28,0.7657657657657657,0.8585858585858586,0.9074733096085409,0.9479553903345725,0.8947368421052632,0.8095238095238094,0.8830295840971998,0.7394272345301939,0.09252669039145907,0.1414141414141414,222,538,0.29210526315789476,0.7058248948855876,0.816665530991822,0.8032084179566921,0.9003140438292472,0.8806718501360876,0.9287421524266563,0.9258095724869693,0.9637495266802711,0.8708976264867624,0.9146056910817141,0.07125784757334379,0.11932814986391242,0.09968595617075282,0.196791582043308,0.2608860174645433,0.325415568616059
validation_sample,animal,0.3,760,168,44,518,30,0.7924528301886793,0.8484848484848485,0.9217081850533808,0.9452554744525548,0.9026315789473685,0.8195121951219513,0.8850965167691147,0.7537756941013528,0.07829181494661921,0.15151515151515152,212,548,0.2789473684210526,0.7328945303950045,0.8416012160547564,0.7919453696921014,0.8917595579590226,0.896527066552875,0.9411634077151175,0.9229250098998757,0.9613869463690031,0.8794856244596934,0.9217277594601525,0.058836592284882444,0.10347293344712508,0.10824044204097741,0.20805463030789864,0.24823496301304462,0.3118831791486085
validation_sample,animal,0.5,760,161,19,543,37,0.8944444444444445,0.8131313131313131,0.9661921708185054,0.9362068965517242,0.9263157894736842,0.851851851851852,0.8896617419749093,0.8045782106251217,0.033807829181494664,0.18686868686868688,180,580,0.23684210526315788,0.8410276570803017,0.9313770056704258,0.753066193356417,0.8612773648228539,0.9478030204646603,0.9782514278822346,0.9133069411370804,0.9533666949251365,0.90552080483703,0.9428227781369245,0.021748572117765465,0.052196979535339895,0.13872263517714611,0.2469338066435831,0.20798681781233333,0.26834430380868235
validation_sample,animal,0.7,760,139,5,557,59,0.9652777777777778,0.702020202020202,0.9911032028469751,0.9042207792207793,0.9157894736842105,0.8128654970760234,0.8465617024335885,0.7763181051308395,0.008896797153024912,0.29797979797979796,144,616,0.18947368421052632,0.9212970800343208,0.9850792576242422,0.6349609560743676,0.761389726621936,0.9793442703593686,0.9961940034717113,0.8784129968041607,0.9250182563222293,0.8938940037572977,0.9335028240814974,0.003805996528288764,0.02065572964063138,0.2386102733780639,0.3650390439256323,0.1632004981503265,0.21887022536247203
validation_sample,animal,0.9,760,88,1,561,110,0.9887640449438202,0.4444444444444444,0.998220640569395,0.8360655737704918,0.8539473684210527,0.6132404181184669,0.7213325425069197,0.6042543117679043,0.0017793594306049821,0.5555555555555556,89,671,0.11710526315789474,0.9390675378849535,0.9980138167717437,0.37694237538801073,0.5140611868705056,0.9899906793998808,0.9996858302838233,0.8061550977050935,0.8621500191561855,0.8270593909505566,0.8772752504691774,0.00031416971617665573,0.010009320600119144,0.48593881312949433,0.6230576246119892,0.09614687790115016,0.14191490405742768
validation_sample,human,0.01,809,107,204,497,1,0.3440514469453376,0.9907407407407407,0.7089871611982882,0.9979919678714859,0.7466007416563659,0.5107398568019093,0.8498639509695145,0.4892211371372224,0.29101283880171186,0.009259259259259259,311,498,0.38442521631644005,0.293445178184407,0.3984632497483876,0.9494065448063366,0.9983636391461163,0.6742954182036128,0.7414009009235752,0.9887145066629879,0.9996454450348624,0.7155111766383413,0.7753594546147529,0.25859909907642475,0.32570458179638717,0.0016363608538834916,0.050593455193663206,0.3515250145239066,0.41841782245772585
