threshold,category,category_n,detected_n,missed_n,detection_rate,miss_rate,detection_ci_low,detection_ci_high,miss_ci_low,miss_ci_high
0.25,any_sensitive_human,49,42,7,0.8571428571428571,0.14285714285714285,0.733322937760856,0.9290357627959324,0.07096423720406762,0.26667706223914406
0.25,benign_human,59,49,10,0.8305084745762712,0.1694915254237288,0.71536779263512,0.9052416065081895,0.09475839349181055,0.2846322073648801
0.25,privacy_sensitive_human,36,32,4,0.8888888888888888,0.1111111111111111,0.7468519140963514,0.9559335969968434,0.04406640300315648,0.25314808590364857
0.25,recognisable_human,39,34,5,0.8717948717948718,0.1282051282051282,0.7329425662025455,0.9439718246302862,0.05602817536971394,0.2670574337974545
0.25,safeguarding_sensitive_human,13,10,3,0.7692307692307693,0.23076923076923078,0.49743624053272506,0.9182047128150144,0.08179528718498563,0.5025637594672749
0.3,all_humans,108,88,20,0.8148148148148148,0.18518518518518517,0.7312030524810644,0.8768004617525846,0.12319953824741527,0.2687969475189354
0.3,any_sensitive_human,49,41,8,0.8367346938775511,0.16326530612244897,0.7096366156608318,0.9148730162927117,0.08512698370728837,0.2903633843391683
0.3,benign_human,59,47,12,0.7966101694915254,0.2033898305084746,0.6773198772795009,0.879637275797828,0.12036272420217203,0.32268012272049906
0.3,privacy_sensitive_human,36,31,5,0.8611111111111112,0.1388888888888889,0.7134046961064381,0.9391818499086716,0.06081815009132838,0.286595303893562
0.3,recognisable_human,39,33,6,0.8461538461538461,0.15384615384615385,0.7027053635107331,0.927525276230179,0.07247472376982102,0.2972946364892669
0.3,safeguarding_sensitive_human,13,10,3,0.7692307692307693,0.23076923076923078,0.49743624053272506,0.9182047128150144,0.08179528718498563,0.5025637594672749
0.5,all_humans,108,81,27,0.75,0.25,0.6607046489100945,0.822121671216627,0.17787832878337295,0.3392953510899055
0.5,any_sensitive_human,49,39,10,0.7959183673469388,0.20408163265306123,0.6636299908048746,0.8851815039421786,0.11481849605782135,0.3363700091951255
0.5,benign_human,59,42,17,0.711864406779661,0.288135593220339,0.5861915342706008,0.811635003641777,0.188364996358223,0.4138084657293992
0.5,privacy_sensitive_human,36,29,7,0.8055555555555556,0.19444444444444445,0.6497195700482261,0.9024690458107127,0.09753095418928728,0.3502804299517738
0.5,recognisable_human,39,31,8,0.7948717948717948,0.20512820512820512,0.644660319864177,0.8922028176928961,0.10779718230710388,0.3553396801358229
0.5,safeguarding_sensitive_human,13,10,3,0.7692307692307693,0.23076923076923078,0.49743624053272506,0.9182047128150144,0.08179528718498563,0.5025637594672749
0.7,all_humans,108,69,39,0.6388888888888888,0.3611111111111111,0.5449722923436943,0.7232645521711508,0.276735447828849,0.45502770765630557
0.7,any_sensitive_human,49,34,15,0.6938775510204082,0.30612244897959184,0.5547210644108936,0.8048450873199343,0.19515491268006574,0.4452789355891064
0.7,benign_human,59,35,24,0.5932203389830508,0.4067796610169492,0.46593401255337397,0.7091096641280723,0.2908903358719277,0.5340659874466261
0.7,privacy_sensitive_human,36,25,11,0.6944444444444444,0.3055555555555556,0.5314372714948967,0.8199554840517007,0.18004451594829923,0.46856272850510333
0.7,recognisable_human,39,28,11,0.717948717948718,0.28205128205128205,0.5622468051697919,0.8345650791115232,0.16543492088847675,0.43775319483020814
0.7,safeguarding_sensitive_human,13,9,4,0.6923076923076923,0.3076923076923077,0.42369343180549046,0.8731929634428949,0.12680703655710515,0.5763065681945096
0.9,all_humans,108,34,74,0.3148148148148148,0.6851851851851852,0.23486550444655255,0.4074853695336538,0.5925146304663463,0.7651344955534475
0.9,any_sensitive_human,49,17,32,0.3469387755102041,0.6530612244897959,0.2292439283453896,0.48688805713027267,0.5131119428697273,0.7707560716546105
0.9,benign_human,59,17,42,0.288135593220339,0.711864406779661,0.188364996358223,0.4138084657293992,0.5861915342706008,0.811635003641777
0.9,privacy_sensitive_human,36,16,20,0.4444444444444444,0.5555555555555556,0.2954126874008023,0.604189382443027,0.395810617556973,0.7045873125991978
0.9,recognisable_human,39,14,25,0.358974358974359,0.6410256410256411,0.2274208545899287,0.5158185144045146,0.48418148559548546,0.7725791454100713
0.9,safeguarding_sensitive_human,13,1,12,0.07692307692307693,0.9230769230769231,0.013710421242556586,0.3331395092109958,0.6668604907890041,0.9862895787574433
